,energy demand post building upgrades,net renewable energy production,supply and demand,storage state
0,85.19063578401784,1478.0,1392.8093642159822,4700.0
1,90.17574411820829,1320.0,1229.8242558817917,4700.0
2,86.93120418677005,1116.0,1029.06879581323,4700.0
3,94.91827722842751,888.0,793.0817227715725,4700.0
4,89.66471118977594,790.0,700.335288810224,4700.0
5,86.81572244157965,780.0,693.1842775584204,4700.0
6,119.61993399591042,782.0,662.3800660040896,4700.0
7,259.8185369994842,790.0,530.1814630005158,4700.0
8,182.69447743071802,772.0,589.305522569282,4700.0
9,312.8642515729134,945.6,632.7357484270866,4700.0
10,429.2333532188354,1202.85,773.6166467811645,4700.0
11,381.57467267088964,1292.25,910.6753273291104,4700.0
12,295.85532816919164,1293.25,997.3946718308084,4700.0
13,232.05136888382782,1159.95,927.8986311161723,4700.0
14,399.14966262457295,896.45,497.3003373754271,4700.0
15,406.42984941714906,555.8,149.3701505828509,4700.0
16,411.5128078465044,472.0,60.487192153495585,4700.0
17,555.2985904578549,460.0,-95.29859045785486,4594.11267726905
18,561.565728006245,440.0,-121.56572800624497,4459.039646151001
19,394.92143757997536,404.0,9.078562420024639,4468.118208571025
20,317.71449616031464,354.0,36.28550383968536,4504.403712410711
21,168.38331996958925,292.0,123.61668003041075,4628.020392441122
22,148.95797974413054,238.0,89.04202025586946,4700.0
23,124.93884800418348,202.0,77.06115199581652,4700.0
24,121.99070222046623,168.0,46.00929777953377,4700.0
25,102.57149877789703,140.0,37.428501222102966,4700.0
26,101.9699613178723,118.0,16.030038682127696,4700.0
27,104.27984494089519,110.0,5.720155059104812,4700.0
28,106.57463989278794,112.0,5.425360107212057,4700.0
29,122.26767449813451,124.0,1.732325501865489,4700.0
30,155.82110982434742,142.0,-13.821109824347417,4684.643211306281
31,336.90710055313014,156.0,-180.90710055313014,4483.635321802803
32,350.72265681716243,156.0,-194.72265681716243,4267.276814228178
33,385.97020992832273,217.9,-168.07020992832273,4080.532136530042
34,499.5184845605377,302.6,-196.91848456053765,3861.733820351667
35,279.4425915460048,352.3,72.85740845399522,3934.591228805662
36,235.47898977420624,352.6,117.12101022579378,4051.7122390314557
37,237.73824548810666,307.8,70.06175451189335,4121.773993543349
38,370.89113422635046,230.05,-140.84113422635045,3965.28384440296
39,371.7903800356264,102.95,-268.8403800356264,3666.5723110300414
40,438.4147638619995,76.0,-362.4147638619995,3263.8892400722643
41,359.29769799258065,98.0,-261.29769799258065,2973.5584645249523
42,520.9868414094543,120.0,-400.9868414094543,2528.017529625559
43,447.44276204446425,144.0,-303.44276204446425,2190.8589051317094
44,363.45623733136097,160.0,-203.45623733136097,1964.796419207975
45,162.88204561551908,170.0,7.1179543844809245,1971.914373592456
46,136.54487233093818,178.0,41.455127669061824,2013.3695012615178
47,112.05439101331332,176.0,63.94560898668668,2077.3151102482043
48,100.74060959774854,160.0,59.259390402251455,2136.574500650456
49,89.46420281495926,140.0,50.535797185040735,2187.1102978354966
50,81.44853673680488,128.0,46.55146326319512,2233.661761098692
51,83.18145626911021,136.0,52.818543730889786,2286.4803048295817
52,37.292821507983334,178.0,140.70717849201668,2427.1874833215984
53,85.7552868901737,266.0,180.2447131098263,2607.432196431425
54,145.89930936017848,366.0,220.10069063982152,2827.5328870712465
55,319.6487235518914,436.0,116.35127644810859,2943.884163519355
56,371.48388588084066,466.0,94.51611411915934,3038.400277638514
57,244.31624366317408,511.1,266.78375633682595,3305.18403397534
58,274.77326755138915,539.35,264.57673244861087,3569.760766423951
59,173.49413164185563,539.0,365.50586835814437,3935.266634782095
60,381.64302882090476,537.25,155.60697117909524,4090.87360596119
61,249.14179764295017,522.25,273.10820235704983,4363.98180831824
62,372.0089861598795,454.15,82.14101384012048,4446.122822158361
63,309.8940484813119,422.2,112.30595151868806,4558.428773677048
64,313.16719155801815,474.0,160.83280844198185,4700.0
65,352.1746420992514,508.0,155.8253579007486,4700.0
66,309.39345979395375,512.0,202.60654020604625,4700.0
67,285.4538953208737,530.0,244.5461046791263,4700.0
68,301.9200988215033,562.0,260.0799011784967,4700.0
69,186.79055606328336,552.0,365.20944393671664,4700.0
70,91.35533904765319,504.0,412.64466095234684,4700.0
71,92.9703026027261,516.0,423.02969739727394,4700.0
72,88.89419353822701,566.0,477.105806461773,4700.0
73,84.08284647369342,590.0,505.9171535263066,4700.0
74,86.93925979575599,564.0,477.060740204244,4700.0
75,86.63198316017346,522.0,435.3680168398265,4700.0
76,89.88597495543709,468.0,378.11402504456294,4700.0
77,94.2756224671658,458.0,363.7243775328342,4700.0
78,126.628835387819,466.0,339.371164612181,4700.0
79,319.7759794642117,490.0,170.22402053578833,4700.0
80,308.980755764965,510.0,201.019244235035,4700.0
81,263.87383879101355,607.65,343.7761612089864,4700.0
82,261.2434913880327,793.8,532.5565086119673,4700.0
83,198.07139849631773,898.35,700.2786015036822,4700.0
84,156.45788029713637,906.2,749.7421197028636,4700.0
85,165.8500462846739,776.6,610.7499537153261,4700.0
86,302.6017824522155,682.0,379.3982175477845,4700.0
87,286.6476911717815,602.2,315.55230882821854,4700.0
88,267.7512978141824,568.0,300.2487021858176,4700.0
89,344.9202293936699,522.0,177.0797706063301,4700.0
90,404.5995536657214,486.0,81.40044633427863,4700.0
91,334.3395952129231,466.0,131.6604047870769,4700.0
92,292.59564039739814,462.0,169.40435960260186,4700.0
93,118.68983421892659,476.0,357.3101657810734,4700.0
94,130.43240181861202,494.0,363.567598181388,4700.0
95,121.07120687676564,510.0,388.92879312323436,4700.0
96,111.87129269877846,518.0,406.12870730122154,4700.0
